,en,es
BOY_A,Excuse me sir... Are you the Heartsmith?,Disculpe... ¿Es usted el herrero de corazones?
SMITH_A,That's right,Asi es
BOY_B,"You see... my heart has broken really bad, i am afraid i wont be able to love anymore","Verá... mi corazón se ha estropeado y me temo no poder volver a amar"
BOY_C,Do you think you could fix it?,¿Cree poder repararlo?
SMITH_D,"That depends a lot on you","Eso depende mucho de tí"
SMITH_D_2,"A heart can only be fixed if it is ready to let go the sorrow","Un corazón sólo puede repararse si está listo para dejar atrás la pena"
SMITH_E,"It won't be aesy, and is very dangerous, for both of us","No será fácil, y será peligroso para ambos"
SMITH_F,Are you sure you want to try it?,¿Seguro de que quieres intentarlo?
BOY_G,"I have to do it. For my own good, and for the ones who still can love me","Debo hacerlo. Por mi bien, y por el de aquellos que aún pueden amarme"
SMITH_H,Well then,Muy bien
SMITH_I,Let's get started with this,Empecemos de una vez
